Code,LocalAuthority,Year,Indicator,Numerator,Denominator
C&L01,East Lothian,2018-19,3.38,3853,1138913
C&L01,East Lothian,2019-20,3.71,3678,991442
C&L01,East Lothian,2020-21,26.19,3814,145637
C&L01,East Lothian,2021-22,5.33,3597,674381
C&L01,East Lothian,2022-23,4.68,3969,848892
C&L01,East Lothian,2023-24,5.78,3957,684966
C&L01,East Lothian,2024-25,4.68,3916,836019
C&L01,East Renfrewshire,2010-11,5.02,3639,724197
C&L01,East Renfrewshire,2011-12,3.81,2746,720196
C&L01,East Renfrewshire,2012-13,4.17,2930,702916
C&L01,East Renfrewshire,2013-14,4.81,3035,630589
C&L01,East Renfrewshire,2014-15,4.71,3318,704423
C&L01,East Renfrewshire,2015-16,4.31,3431,795686
C&L01,East Renfrewshire,2016-17,3.85,3329,864329
C&L01,East Renfrewshire,2017-18,4.34,3958,911028
C&L01,East Renfrewshire,2018-19,4.14,3675,888134
C&L01,East Renfrewshire,2019-20,5.6,4478,799624
C&L01,East Renfrewshire,2020-21,96.92,3265,33689
C&L01,East Renfrewshire,2021-22,8.62,3133,363584
C&L01,East Renfrewshire,2022-23,5.14,3939,765892
C&L01,East Renfrewshire,2023-24,5.75,4767,829100
C&L01,East Renfrewshire,2024-25,6.33,4538,717082
C&L01,Edinburgh City,2010-11,2.39,9356,3912923
C&L01,Edinburgh City,2011-12,2.27,8893,3910041
C&L01,Edinburgh City,2012-13,2.12,9394,4422993
C&L01,Edinburgh City,2013-14,2.34,9213,3938927
C&L01,Edinburgh City,2014-15,2.53,9346,3699830
C&L01,Edinburgh City,2015-16,2.17,8029,3698922
C&L01,Edinburgh City,2016-17,2.02,7667,3790618
C&L01,Edinburgh City,2017-18,2.2,8239,3745911
C&L01,Edinburgh City,2018-19,2.02,7438,3682917
C&L01,Edinburgh City,2019-20,2.02,7115,3521097
C&L01,Edinburgh City,2020-21,25.6,10340,403829
C&L01,Edinburgh City,2021-22,6.03,12359,2047928
C&L01,Edinburgh City,2022-23,3.32,10043,3026419
C&L01,Edinburgh City,2023-24,2.48,8712,3512527
C&L01,Edinburgh City,2024-25,2.81,11078,3947604
C&L01,Eilean Siar,2010-11,2.11,679,321497
C&L01,Eilean Siar,2011-12,3.57,1206,338130
C&L01,Eilean Siar,2012-13,3.01,954,316992
C&L01,Eilean Siar,2013-14,2.87,840,292506
C&L01,Eilean Siar,2014-15,3.39,830,244494
C&L01,Eilean Siar,2015-16,3,830,276988
C&L01,Eilean Siar,2016-17,2.72,793,291742
C&L01,Eilean Siar,2017-18,2.9,841,289596
C&L01,Eilean Siar,2018-19,3.26,915,280371
C&L01,Eilean Siar,2019-20,3.6,1012,280948
C&L01,Eilean Siar,2020-21,46.06,1337,29028
C&L01,Eilean Siar,2021-22,10.01,1382,138056
C&L01,Eilean Siar,2022-23,6.19,1460,235675
C&L01,Eilean Siar,2023-24,4.44,1155,260314
C&L01,Eilean Siar,2024-25,5.87,1616,275321
C&L01,Falkirk,2010-11,4.95,4660,941279
C&L01,Falkirk,2011-12,5.6,5306,947363
C&L01,Falkirk,2012-13,5.44,5747,1057020
C&L01,Falkirk,2013-14,5.22,5664,1085083
C&L01,Falkirk,2014-15,5.35,5481,1024333
C&L01,Falkirk,2015-16,4.91,5169,1053051
C&L01,Falkirk,2016-17,4.36,5077,1164242
C&L01,Falkirk,2017-18,4.24,4939,1165191
C&L01,Falkirk,2018-19,4.21,4979,1181335
C&L01,Falkirk,2019-20,3.89,4528,1165420
C&L01,Falkirk,2020-21,81.44,5593,68678
C&L01,Falkirk,2021-22,7.93,5925,747524
C&L01,Falkirk,2022-23,4.51,5532,1225852
C&L01,Falkirk,2023-24,4.14,6261,1511570
C&L01,Falkirk,2024-25,4.01,6303,1570823
C&L01,Fife,2010-11,3.78,9205,2432587
C&L01,Fife,2011-12,2.79,7117,2553684
C&L01,Fife,2012-13,2.43,6528,2690722
C&L01,Fife,2013-14,2.71,7721,2847445
C&L01,Fife,2014-15,2.53,7573,2996768
C&L01,Fife,2015-16,2.32,7064,3049232
C&L01,Fife,2016-17,2.34,7088,3028139
C&L01,Fife,2017-18,2.41,6920,2866734
C&L01,Fife,2018-19,2.09,5892,2822259
C&L01,Fife,2019-20,2.47,6882,2791499
C&L01,Fife,2020-21,36.36,9079,249691
C&L01,Fife,2021-22,4.68,8694,1857109
C&L01,Fife,2022-23,3.94,9468,2402976
C&L01,Fife,2023-24,4.64,11931,2570253
C&L01,Fife,2024-25,4.29,12136,2829160
C&L01,Glasgow City,2010-11,7.45,33967,4558310
C&L01,Glasgow City,2011-12,5.9,30472,5162438
C&L01,Glasgow City,2012-13,5.63,31925,5669998
C&L01,Glasgow City,2013-14,6.34,39552,6240357
C&L01,Glasgow City,2014-15,4.62,27587,5973048
C&L01,Glasgow City,2015-16,4.81,27852,5787604
